review_tier,id,klass,title,source_decision,cap,final_review_status,final_source_priority,final_valid_from,final_valid_to,final_supersedes,final_procedure_version,final_last_verified_at,existing_phi_le_phi,final_phi_le_phi,candidate_thoi_han,final_thoi_han,candidate_mau_don,final_mau_don,suggested_authority,final_authority,paper_flag,notes
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_03_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_04_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_05_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_06_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_07_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_08_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_09_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_10_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_11_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_04_ang_ky_quan_ly_cu_tru_ieu_chinh_thong_tin_ve_cu_tru_trong_co_so_du_lieu_ve_cu_tru_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_05_ang_ky_quan_ly_cu_tru_viec_nop_ho_so_ang_ky_cu_tru_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_06_ang_ky_quan_ly_cu_tru_truong_hop_cong_dan_co_su_ieu_chinh_ve_ho_tich_ma_cac_thong_tin_nay_a_uoc_cap_nh_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_02_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_03_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_04_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_05_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_06_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_07_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_08_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_07_ang_ky_quan_ly_cu_tru_ang_ky_tam_tru_09_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
